Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
29.471,4,129.96,62.53,1083.53,-43.26,-43.99,-119.91
30.010,4,76.48,79.32,1243.88,-28.95,37.06,135.75
30.071,4,71.25,79.61,1238.85,-25.10,-36.95,-146.86
30.132,4,68.01,79.40,1255.77,-26.81,-38.33,-146.18
30.191,4,63.51,74.88,1217.99,-31.27,-40.40,-142.57
30.253,4,60.43,72.19,1197.51,-33.93,-42.23,-141.82
30.314,4,58.86,69.96,1197.57,-34.80,-42.62,-140.79
30.372,4,56.51,67.33,1181.32,-37.21,-43.22,-139.59
30.436,4,54.91,65.16,1175.06,-38.25,-43.37,-139.01
30.496,4,53.57,63.00,1168.62,-39.15,-43.27,-138.70
30.555,4,52.51,61.49,1173.99,-39.29,-42.93,-138.02
30.618,4,51.09,60.60,1173.84,-39.84,-42.86,-137.21
30.675,4,49.68,60.28,1182.08,-40.12,-42.66,-136.69
30.736,4,46.88,60.40,1182.91,-47.26,40.64,125.67
30.796,4,44.46,61.12,1180.43,-47.01,40.49,125.27
30.857,4,43.12,64.31,1208.74,-40.41,-40.45,-134.40
30.919,4,40.56,65.47,1208.92,-40.21,-40.43,-134.33
30.978,4,38.66,67.34,1224.45,-39.50,-39.32,-134.34
31.039,4,36.44,68.24,1232.67,-45.24,37.53,124.52
31.100,4,35.52,68.81,1239.50,-38.92,-39.34,-134.00
31.158,4,34.71,68.98,1239.88,-38.74,-39.95,-134.24
31.220,4,34.47,68.78,1231.42,-39.34,-39.80,-133.52
31.281,4,35.02,68.46,1228.35,-38.84,-40.01,-133.87
31.339,4,35.97,68.56,1230.50,-38.85,-39.84,-134.28
31.403,4,36.56,67.42,1222.78,-39.32,-40.11,-134.16
31.461,4,37.48,66.69,1215.02,-39.44,-40.71,-134.54
31.521,4,38.03,64.96,1203.57,-39.42,-41.23,-134.76
31.583,4,38.28,63.88,1194.33,-45.56,39.72,125.54
31.642,4,39.11,63.26,1187.90,-39.66,-42.40,-135.45
31.703,4,39.63,63.27,1195.65,-39.26,-41.99,-135.96
31.823,5,38.78,63.45,1191.14,-38.94,-41.07,-135.35
31.886,5,38.48,64.37,1195.68,-39.05,-41.90,-135.89
31.945,5,38.21,65.39,1206.68,-39.27,-40.82,-135.46
32.004,5,37.43,65.35,1193.54,-38.82,-41.93,-135.39
32.066,5,37.30,66.34,1206.30,-39.55,-40.65,-134.60
32.126,5,36.72,67.22,1205.00,-39.17,-41.14,-134.71
32.187,5,35.16,69.81,1207.30,-39.04,-41.29,-134.42
32.247,5,33.19,69.67,1218.49,-39.75,-43.27,-136.12
32.487,5,28.06,40.85,1142.43,-42.45,-44.86,-130.87
33.092,5,92.30,-2.02,1080.61,-32.19,-40.86,-137.50
33.154,5,95.00,-3.82,1086.03,-31.32,-41.06,-139.15
33.214,5,95.04,-4.62,1080.42,-32.00,-40.74,-138.70
33.273,5,92.82,-3.63,1067.58,-33.51,-42.04,-138.38
33.336,5,91.42,-2.53,1072.15,-33.54,-42.13,-138.86
33.396,5,88.00,-1.40,1058.03,-34.18,-42.69,-138.00
33.455,5,86.41,-0.28,1070.66,-35.69,-41.59,-137.08
33.516,5,84.58,1.13,1084.90,-35.88,-41.33,-137.45
33.575,5,81.20,1.78,1084.39,-36.55,-41.07,-135.78
33.636,5,79.19,2.55,1097.25,-36.93,-41.89,-136.00
33.698,5,76.88,3.51,1091.95,-37.48,-42.42,-135.64
33.757,5,76.38,4.28,1104.52,-36.78,-41.49,-135.31
33.820,5,75.97,4.32,1109.13,-36.01,-41.60,-135.93
33.879,5,75.90,4.09,1113.87,-35.23,-41.67,-136.54
33.938,5,75.98,4.10,1116.24,-35.80,-40.78,-135.78
34.001,5,76.03,3.72,1119.26,-34.83,-41.40,-136.63
34.059,5,76.23,3.84,1118.63,-34.35,-41.46,-137.36
34.121,5,77.34,4.27,1127.98,-34.46,-40.26,-136.71
34.181,5,77.79,4.65,1125.07,-34.06,-40.70,-136.86
34.240,5,76.67,5.67,1114.04,-34.88,-41.28,-136.70
34.303,5,76.55,5.87,1121.87,-34.58,-41.15,-136.97
34.363,5,76.53,6.33,1128.92,-33.99,-40.62,-137.33
34.422,5,75.25,7.01,1111.54,-35.19,-42.16,-137.41
34.542,6,72.72,9.39,1092.80,-36.10,-42.73,-136.85
34.603,6,72.74,9.49,1101.52,-36.02,-42.09,-136.90
34.664,6,71.93,9.63,1100.29,-35.81,-42.65,-137.13
34.724,6,72.30,10.20,1104.84,-36.61,-42.12,-136.31
34.787,6,71.87,9.84,1095.84,-36.56,-42.59,-136.53
34.846,6,72.10,10.12,1098.13,-36.69,-42.68,-136.67
34.906,6,71.08,11.20,1087.89,-36.90,-43.03,-135.69
34.968,6,68.17,13.91,1073.28,-37.42,-42.18,-134.28
35.026,6,64.62,17.91,1071.93,-37.02,-43.03,-135.62
35.087,6,64.00,19.93,1089.96,-35.73,-44.14,-138.05
35.147,6,64.64,19.17,1084.52,-35.31,-42.84,-137.50
35.268,6,68.35,13.35,1065.32,-40.23,46.22,129.73
35.330,6,70.73,10.12,1055.64,-39.18,48.02,131.15
35.389,6,73.21,7.76,1049.12,-32.79,-43.54,-140.11
35.452,6,74.22,7.00,1064.37,-32.03,-41.84,-140.88
35.510,6,72.29,7.92,1049.06,-32.44,-42.11,-140.28
35.571,6,70.56,10.41,1036.02,-31.88,-43.19,-141.68
35.634,6,69.66,12.92,1029.44,-30.16,-43.28,-142.89
35.691,6,66.67,15.53,1016.99,-36.77,46.71,132.26
35.753,6,62.73,19.79,995.26,-32.12,-41.61,-138.80
35.812,6,61.46,23.80,1045.20,-32.94,46.65,137.16
35.872,6,58.40,20.15,1001.44,-29.32,-45.05,-143.53
36.174,6,91.33,-6.65,991.07,-26.44,-33.22,-139.44
36.296,6,103.93,-12.51,977.37,-21.11,-26.91,-141.71
36.357,6,111.98,-13.21,1014.89,-21.25,37.45,142.95
36.419,6,114.00,-12.27,1015.33,-22.20,37.75,144.22
36.477,6,110.24,-9.71,985.40,-23.05,39.42,142.42
36.537,6,103.11,-6.34,939.38,-21.54,-30.82,-144.94
36.599,6,99.13,-2.66,933.84,-24.10,-34.12,-144.21
36.658,6,98.97,0.46,960.87,-24.05,-36.13,-146.50
36.720,6,95.76,2.18,955.68,-25.05,-38.59,-147.01
36.779,6,94.17,4.44,975.41,-30.96,48.22,139.32
36.838,6,92.72,6.45,984.81,-26.36,-39.01,-146.23
36.899,6,91.04,8.64,1002.83,-26.72,-39.46,-146.62
36.960,6,88.47,9.58,1003.41,-26.65,-40.67,-146.74
37.020,6,86.75,11.17,1013.97,-32.80,47.97,137.65
37.082,6,86.02,12.64,1029.13,-32.16,47.57,138.32
37.141,6,84.52,12.67,1027.51,-31.79,48.55,139.30
37.201,6,85.29,12.04,1043.80,-30.38,47.87,140.22
37.263,6,84.69,10.36,1028.36,-31.52,47.43,138.16
37.322,6,85.69,7.83,1023.85,-30.49,49.21,139.09
37.386,6,87.08,3.84,1006.18,-31.69,46.83,136.22
37.444,6,89.90,-0.09,996.35,-31.07,45.22,136.47
37.504,6,94.15,-2.95,989.09,-25.49,-36.08,-144.16
37.565,6,94.96,-5.31,961.00,-25.45,-35.28,-143.53
37.625,6,86.79,-6.20,753.70,-17.55,-4.95,-137.29
37.687,6,88.64,-6.77,772.66,-18.65,-7.68,-138.64
37.747,6,93.83,-4.86,925.52,-26.34,-36.04,-144.20
37.806,6,89.71,-2.50,919.37,-27.31,-37.96,-143.47
37.869,6,86.15,0.41,928.04,-32.76,48.63,137.29
37.928,6,83.98,4.13,934.80,-28.23,-40.39,-144.48
37.987,6,80.63,8.08,934.92,-34.44,48.12,135.53
38.048,6,78.29,12.50,948.07,-34.02,47.55,136.16
38.108,6,75.02,15.83,958.37,-32.14,46.20,137.58
38.170,6,71.95,18.12,970.61,-31.43,46.27,138.25
38.229,6,69.32,20.42,986.97,-31.35,45.27,137.82
38.289,6,66.75,22.80,995.24,-32.68,45.63,136.47
38.352,6,64.52,25.18,998.55,-32.98,46.48,136.51
38.411,6,62.55,27.64,1005.02,-33.72,45.32,135.19
38.471,6,60.63,29.25,1010.03,-33.86,45.31,135.58
38.533,6,59.11,30.95,1024.82,-32.81,44.28,136.79
38.591,6,56.36,32.11,1014.65,-33.83,43.64,135.18
38.653,6,53.23,34.36,990.95,-35.92,45.33,133.81
38.713,6,51.59,37.84,997.20,-35.84,44.87,134.17
38.773,6,50.40,40.37,1005.06,-35.90,45.15,135.38
38.836,6,51.25,41.64,1016.50,-35.85,45.12,136.28
38.894,6,54.72,43.47,1026.13,-34.41,43.06,136.40
38.954,6,60.86,45.30,1032.76,-25.29,-40.40,-149.12
39.015,6,63.94,44.84,1011.81,-32.21,45.41,138.65
39.075,6,67.14,44.94,1008.52,-34.23,46.52,137.86
39.137,6,70.30,46.14,999.15,-33.94,48.36,139.22
39.197,6,72.23,47.78,994.20,-33.09,48.09,139.29
39.256,6,72.86,47.84,982.34,-32.47,47.77,139.25
39.319,6,73.48,46.19,972.11,-32.41,48.17,139.25
39.378,6,74.67,43.91,969.24,-32.28,47.63,138.84
39.437,6,76.51,40.93,968.20,-31.66,48.14,139.31
39.501,6,77.63,38.06,961.79,-31.36,48.75,139.45
39.558,6,80.25,35.72,974.63,-31.41,47.62,138.98
39.620,6,82.51,33.37,982.51,-30.44,47.97,140.45
39.680,6,84.89,32.61,991.76,-29.58,46.89,140.71
39.739,6,85.69,33.16,991.62,-29.32,47.22,141.46
39.803,6,85.13,34.37,980.37,-28.69,48.15,142.33
39.861,6,84.24,34.82,973.68,-28.75,48.54,142.46
39.920,6,84.03,34.91,972.82,-28.10,48.36,143.62
39.982,6,84.17,34.12,969.91,-27.75,47.85,143.54
40.041,6,84.76,33.97,968.87,-27.45,48.21,144.36
40.103,6,84.24,33.99,957.29,-29.17,48.74,143.20
40.165,6,84.14,33.76,956.95,-29.31,48.98,142.92
40.223,6,84.36,34.27,968.05,-28.79,48.19,142.69
40.286,6,83.89,33.64,965.88,-28.53,48.54,143.12
40.344,6,83.96,34.52,968.58,-28.76,48.23,142.75
40.404,6,83.55,34.77,969.01,-28.86,48.21,142.58
40.466,6,83.04,35.45,971.83,-29.17,47.94,142.10
40.525,6,82.18,35.52,970.37,-28.97,48.25,142.45
40.587,6,81.67,35.81,968.84,-28.80,48.75,142.69
40.648,6,80.81,36.18,960.62,-29.83,49.20,142.10
40.708,6,80.85,37.29,968.93,-29.69,47.97,141.49
40.771,6,80.24,38.38,975.90,-29.39,47.79,141.78
40.829,6,79.18,38.76,979.07,-28.81,48.04,142.14
40.887,6,77.94,38.97,978.20,-29.77,48.15,141.46
40.951,6,77.33,39.93,979.09,-29.90,48.31,141.19
41.009,6,76.02,40.94,968.39,-30.57,49.10,140.82
41.070,6,76.77,41.65,987.12,-28.62,48.55,142.45
41.130,6,75.70,40.24,987.83,-29.83,48.44,141.74
41.189,6,75.44,39.33,1003.91,-29.61,47.31,142.08
41.254,6,72.60,37.27,999.38,-31.24,48.02,139.87
41.312,6,71.05,36.16,990.55,-31.76,48.47,138.87
41.371,6,73.38,36.65,1004.64,-30.47,47.36,138.93
41.433,6,77.50,37.11,1013.54,-29.34,46.66,141.39
41.493,6,79.05,36.83,995.91,-29.45,47.65,141.29
41.553,6,80.81,36.26,979.57,-29.12,48.62,142.64
41.613,6,83.40,36.33,976.90,-28.31,47.77,143.35
41.673,6,84.78,35.16,961.67,-28.44,48.18,143.50
41.736,6,85.82,34.25,949.73,-27.61,48.89,145.38
41.795,6,87.55,33.36,947.56,-27.29,47.80,145.13
41.854,6,88.10,32.02,940.67,-26.24,48.11,146.45
41.917,6,89.35,31.09,946.45,-26.01,47.38,146.56
41.975,6,89.43,30.42,943.23,-25.83,47.88,146.74
42.037,6,89.95,30.22,951.21,-25.12,47.61,146.72
42.097,6,90.23,30.39,963.64,-25.17,46.94,145.50
42.158,6,89.28,30.68,968.58,-25.70,46.84,145.15
42.219,6,88.76,30.99,970.38,-25.00,47.00,145.43
42.279,6,88.08,31.64,969.10,-25.82,47.07,144.69
42.337,6,87.91,32.01,973.19,-25.36,47.48,145.21
42.400,6,87.68,32.31,975.03,-25.55,47.62,145.26
42.458,6,86.91,32.74,970.70,-25.80,47.51,145.17
42.520,6,85.29,33.13,961.96,-26.70,48.05,144.54
42.580,6,85.06,33.42,963.65,-26.89,48.18,144.57
42.700,7,84.78,33.65,960.68,-27.47,48.60,144.52
42.762,7,84.45,33.85,953.60,-27.47,48.92,144.72
42.822,7,84.45,33.85,953.60,-27.47,48.92,144.72
42.883,7,84.41,33.45,954.66,-27.48,48.89,145.08
42.942,7,84.01,33.63,950.29,-28.03,49.40,144.69
43.004,7,84.07,34.09,957.03,-28.01,48.86,144.19
43.064,7,83.35,34.15,955.53,-27.76,49.19,144.62
43.124,7,83.07,34.29,959.01,-28.14,48.31,143.74
43.186,7,82.89,35.08,958.83,-28.08,48.88,144.14
43.244,7,81.62,37.02,940.40,-28.50,50.37,144.69
43.305,7,81.55,41.79,923.62,-25.88,51.15,149.88
43.367,7,70.73,34.54,652.96,-8.80,28.35,121.16
43.426,7,71.17,38.11,668.55,-7.87,26.55,118.54
43.487,7,65.07,36.71,619.36,-5.88,23.88,114.41
43.970,7,23.79,82.60,1005.48,-33.02,-44.51,-140.36
44.032,7,20.49,85.83,974.23,-32.26,-48.49,-142.09
44.090,7,17.56,89.74,953.78,-35.28,-47.98,-140.18
44.153,7,14.20,93.92,945.90,-32.97,-49.66,-144.26
44.212,7,12.38,96.05,948.56,-31.16,-51.21,-147.35
44.272,7,3.35,0.12,185.53,77.45,-65.55,102.90
44.334,7,13.91,93.80,949.11,-32.70,-50.41,-146.12
44.392,7,16.51,93.60,955.42,-31.29,-50.22,-147.77
44.453,7,18.71,93.37,953.63,-30.07,-50.31,-148.91
44.514,7,20.11,92.37,935.71,-29.79,-51.40,-149.85
44.574,7,20.72,92.17,921.57,-29.19,-51.59,-150.50
44.637,7,21.03,92.80,916.25,-28.83,-51.51,-151.00
44.696,7,21.17,92.97,908.93,-27.35,-51.56,-152.42
44.755,7,20.90,93.71,904.35,-26.62,-51.80,-153.24
44.818,7,21.23,96.25,926.59,-25.03,-50.91,-154.50
44.876,7,20.54,96.97,921.65,-25.00,-51.34,-154.55
44.937,7,20.10,99.81,935.99,-23.80,-50.88,-155.37
44.997,7,19.37,102.15,951.91,-22.95,-49.79,-155.86
45.058,7,18.35,103.85,961.81,-22.46,-49.73,-156.19
45.120,7,17.51,104.38,967.17,-23.48,-49.44,-154.97
45.179,7,16.50,104.20,966.41,-23.22,-50.06,-155.38
45.239,7,15.88,104.76,967.92,-23.71,-50.52,-155.09
45.302,7,15.86,106.50,979.91,-23.01,-50.42,-156.16
45.361,7,15.23,104.61,967.40,-23.49,-51.31,-155.71
45.420,7,14.31,101.29,953.41,-26.42,-51.00,-153.10
45.481,7,13.12,97.50,940.07,-28.63,-51.28,-150.33
45.540,7,12.13,95.20,933.67,-30.33,-51.59,-148.15
45.603,7,12.04,95.50,943.51,-30.66,-51.24,-147.86
45.663,7,13.18,95.43,935.74,-29.31,-51.19,-149.06
45.722,7,15.93,96.53,943.53,-27.34,-50.19,-150.86
45.785,7,19.28,96.27,940.00,-27.19,-50.07,-151.86
45.843,7,21.78,95.03,923.79,-26.24,-51.64,-153.52
45.906,7,23.35,94.72,913.42,-24.90,-51.66,-154.97
45.968,7,24.78,93.24,902.62,-23.40,-51.90,-156.74
46.028,7,26.03,92.14,897.56,-23.99,-51.24,-156.12
46.089,7,26.60,91.32,891.39,-23.88,-51.74,-156.28
46.149,7,26.63,90.52,885.46,-23.94,-52.20,-156.50
46.206,7,26.61,91.02,886.59,-23.74,-52.39,-156.65
46.269,7,26.15,91.03,887.41,-23.82,-52.19,-156.22
46.328,7,25.90,92.23,894.66,-23.01,-51.89,-156.95
46.387,7,25.35,92.69,893.10,-23.47,-51.85,-156.44
46.448,7,24.96,93.39,898.74,-22.61,-51.86,-157.38
46.507,7,24.67,93.89,900.13,-22.26,-51.70,-157.22
46.570,7,24.52,93.83,899.57,-22.12,-51.36,-157.28
46.629,7,24.62,93.95,900.84,-22.38,-51.85,-157.29
46.689,7,24.69,94.11,901.40,-22.77,-51.50,-156.57
46.753,7,24.65,94.39,902.08,-23.21,-51.95,-156.72
46.811,7,24.75,94.98,905.52,-22.55,-52.37,-158.03
46.931,8,24.72,95.89,912.33,-22.31,-51.49,-158.29
46.994,8,24.40,96.72,914.90,-22.14,-51.42,-158.51
47.054,8,23.22,96.78,910.42,-34.40,49.54,142.94
47.113,8,22.66,97.49,915.71,-35.21,48.79,142.03
47.173,8,22.21,98.69,922.77,-34.33,48.57,142.40
47.236,8,22.51,99.24,931.25,-22.01,-51.05,-158.20
47.295,8,22.07,100.48,939.22,-22.46,-51.21,-157.89
47.354,8,20.74,102.49,947.19,-33.38,47.89,142.22
47.415,8,18.89,108.62,992.37,-32.55,43.86,140.81
47.475,8,15.22,117.20,1042.50,-30.30,40.99,142.50
47.537,8,11.21,128.78,1120.56,-28.71,40.59,144.22
47.597,8,9.32,139.24,1190.73,-26.66,41.17,148.41
47.656,8,10.08,140.84,1200.54,-25.17,40.92,150.71
47.719,8,13.56,151.03,1280.90,-23.71,36.63,153.83
47.778,8,20.72,186.83,1561.32,-17.36,18.13,158.68
47.838,8,20.96,176.32,1463.61,-18.21,25.65,160.30
47.899,8,19.49,181.12,1495.27,-17.53,18.39,156.42
47.958,8,15.11,183.13,1493.84,-18.25,16.40,147.71
48.203,8,-52.50,571.17,4091.13,-4.54,-18.70,78.29
48.262,8,-38.89,294.16,2127.35,1.79,-32.00,87.14
48.321,8,-27.01,245.26,1777.19,9.56,-14.81,87.28
48.743,8,42.27,85.38,859.04,-35.87,43.75,137.80
48.804,8,44.84,82.76,849.42,-37.03,46.95,138.86
48.864,8,-6.19,-3.90,166.45,-121.19,10.58,89.28
48.926,8,-6.23,-3.92,166.59,-121.11,10.56,89.40
48.987,8,45.71,84.40,859.67,-36.08,47.88,142.82
49.047,8,45.60,84.41,860.19,-34.74,48.06,144.37
49.106,8,48.06,87.63,885.22,-20.63,-47.83,-163.91
49.170,8,49.44,90.32,908.56,-34.41,46.31,145.32
