Time (s),Target,X (mm),Y (mm),Z (mm),Yaw,Pitch,Roll
2.766,1,-17.68,82.85,1778.76,-0.37,-47.87,-179.25
2.827,1,-17.95,82.88,1779.55,-0.37,-47.86,179.92
2.887,1,-18.42,82.44,1766.04,-5.48,46.84,172.34
2.947,1,-17.96,83.36,1780.97,1.05,-47.81,178.81
3.008,1,-18.46,83.83,1795.59,-4.06,46.07,173.34
3.069,1,-18.31,83.31,1793.41,-5.35,45.61,171.93
3.189,2,-17.31,83.38,1781.56,0.97,-47.37,178.51
3.250,2,-16.78,83.77,1781.13,-0.37,-47.37,179.53
3.311,2,-16.39,84.64,1782.20,-0.35,-46.93,179.93
3.371,2,-16.50,84.21,1769.39,-5.50,46.43,172.61
3.431,2,-15.21,82.84,1752.89,-0.29,-48.19,-179.72
3.491,2,-15.70,83.32,1767.62,-5.52,46.49,172.57
3.551,2,-14.80,81.99,1764.74,0.28,-47.80,179.52
3.612,2,-14.39,77.67,1731.47,0.30,-49.13,179.89
3.673,2,-14.84,75.07,1768.26,2.08,-47.54,177.06
3.733,2,-16.44,67.24,1755.60,1.98,-49.06,176.02
3.793,2,-20.32,66.87,1869.70,2.82,-43.81,175.20
3.854,2,-25.42,65.20,1896.73,-1.39,-42.10,-178.72
3.914,2,-30.85,64.59,1892.49,-2.67,-42.82,-176.46
4.035,2,-45.00,68.48,1994.35,-2.72,-41.73,-174.48
4.095,2,-52.17,69.74,2053.97,-5.29,38.89,170.58
4.156,2,-56.86,66.40,2055.64,-3.94,40.88,174.07
4.216,2,-61.29,61.70,2068.65,-3.09,41.39,175.46
4.277,2,-61.10,53.91,1980.34,-3.13,-49.24,-176.75
4.337,2,-62.84,48.30,1953.45,-7.09,47.30,171.22
4.398,2,-61.56,41.02,1876.01,-7.14,49.96,170.71
4.459,2,-61.12,34.53,1851.38,-6.15,50.55,171.25
4.762,2,-48.36,-10.07,1792.44,-12.17,51.93,166.23
4.822,2,-49.14,-16.34,1855.58,-10.31,50.26,168.67
4.882,2,-51.96,-18.83,1922.75,-10.20,48.12,168.96
4.942,2,-54.90,-18.22,1928.70,-12.45,47.07,165.50
5.002,2,-58.47,-15.53,1951.77,-17.59,-48.74,-159.37
5.063,2,-63.86,-13.44,1991.14,-17.46,-47.85,-159.32
5.123,2,-69.91,-12.85,2044.23,-15.46,-46.00,-162.48
5.184,2,-74.85,-12.93,2043.25,-16.12,-48.11,-161.27
5.244,2,-83.55,-14.57,2125.39,-16.20,-46.55,-161.32
5.305,2,-89.50,-17.71,2139.78,-15.42,43.21,163.38
5.365,2,-92.01,-20.43,2113.64,-16.70,45.55,163.32
5.425,2,-94.52,-23.97,2099.19,-22.12,-51.19,-157.08
5.486,2,-97.14,-27.49,2105.96,-23.16,-50.75,-154.74
5.546,2,-96.94,-29.46,2076.64,-24.99,-52.42,-152.59
5.607,2,-97.93,-31.50,2073.30,-25.37,-52.92,-151.86
5.667,2,-100.66,-33.28,2100.84,-20.17,48.66,159.02
5.729,2,-100.22,-34.65,2073.53,-26.14,-53.74,-152.12
5.788,2,-100.10,-38.51,2041.03,-22.03,50.27,157.18
5.849,2,-100.34,-43.49,2034.24,-22.12,50.81,156.78
5.909,2,-102.69,-49.44,2082.35,-28.84,-53.00,-148.23
5.969,2,-101.57,-53.06,2038.89,-29.84,-54.65,-147.60
6.030,2,-102.36,-59.11,2033.58,-30.84,-55.40,-146.70
6.090,2,-103.42,-65.13,2027.76,-31.16,-55.41,-146.29
6.151,2,-106.03,-73.93,2057.28,-31.43,-54.64,-144.86
6.212,2,-108.68,-82.07,2090.70,-31.98,-54.17,-143.63
6.271,2,-111.99,-88.23,2149.68,-33.25,-51.60,-140.72
6.332,2,-112.37,-89.32,2163.10,-31.52,-52.13,-141.97
6.392,2,-110.30,-87.36,2134.48,-23.72,48.87,152.54
6.453,2,-108.91,-85.98,2122.17,-31.57,-53.01,-142.29
6.515,2,-109.50,-85.00,2124.52,-31.17,-52.60,-143.02
6.574,2,-109.50,-85.00,2124.52,-31.17,-52.60,-143.02
6.634,2,-107.38,-82.97,2086.90,-31.64,-53.81,-143.42
6.696,2,-108.27,-83.23,2099.09,-23.87,50.08,153.19
6.755,2,-110.08,-84.14,2129.91,-31.12,-52.52,-143.96
6.815,2,-108.57,-82.11,2091.72,-31.60,-53.76,-144.32
6.877,2,-108.93,-82.02,2089.33,-31.27,-53.44,-144.13
6.936,2,-109.59,-81.94,2086.78,-30.94,-53.13,-143.93
7.058,3,-110.86,-81.62,2098.92,-31.74,-52.51,-142.79
7.120,3,-111.81,-81.19,2100.04,-23.44,49.16,153.48
7.178,3,-111.37,-79.88,2087.85,-31.24,-53.62,-143.35
7.238,3,-113.27,-80.20,2115.92,-22.12,50.26,154.46
7.299,3,-111.72,-78.86,2088.93,-31.21,-53.63,-143.39
7.360,3,-111.75,-77.83,2089.88,-31.17,-53.64,-143.45
7.421,3,-110.68,-76.28,2083.11,-22.31,51.36,155.85
7.540,3,-99.21,-57.46,1950.21,-28.12,-57.74,-148.41
7.844,3,-103.85,-9.03,1841.39,-31.61,-59.77,-146.08
7.903,3,-105.99,-0.96,1870.36,-22.73,54.42,156.06
7.963,3,-112.02,4.03,1966.11,-21.49,51.63,156.47
8.024,3,-116.71,6.58,2017.11,-22.21,-56.55,-155.12
8.085,3,-122.25,6.31,2041.25,-21.04,-56.06,-155.97
8.145,3,-126.68,6.46,2045.94,-24.76,-56.58,-152.21
8.205,3,-127.01,5.55,2011.96,-28.31,-57.25,-149.17
8.266,3,-128.61,5.86,2034.96,-27.01,-56.72,-150.07
8.328,3,-126.44,7.09,2022.89,-25.70,-56.85,-151.21
8.388,3,-123.24,6.23,2029.79,-22.72,-55.48,-154.24
8.447,3,-117.51,5.22,1989.29,-22.75,-56.19,-153.56
8.507,3,-113.85,2.74,1951.20,-19.83,50.58,158.18
8.569,3,-112.60,0.68,1961.64,-23.62,-55.88,-153.64
8.629,3,-110.50,-0.70,1968.49,-21.58,-55.68,-155.55
8.689,3,-107.75,-1.36,1997.06,-15.50,47.53,162.00
8.749,3,-102.03,-2.21,1991.01,-15.28,46.86,161.10
8.809,3,-97.01,-2.09,1980.64,-10.69,48.89,167.17
8.871,3,-91.70,-0.08,1941.96,-12.82,50.82,166.09
8.931,3,-87.57,1.63,1916.96,-17.21,-56.03,-161.51
8.990,3,-85.39,2.50,1881.89,-15.41,51.76,163.06
9.051,3,-86.16,2.29,1895.65,-16.09,50.90,162.49
9.112,3,-87.04,2.27,1896.09,-16.38,51.65,162.32
9.172,3,-88.20,2.25,1896.18,-16.36,51.63,162.37
9.234,3,-90.14,2.47,1910.06,-16.98,50.76,161.87
9.293,3,-91.38,2.44,1908.93,-16.81,50.36,161.62
9.353,3,-93.20,3.14,1922.94,-17.64,49.84,160.54
9.415,3,-94.41,4.06,1924.34,-17.64,49.80,160.55
9.474,3,-94.86,4.49,1916.01,-19.57,50.36,158.42
9.535,3,-95.94,4.97,1926.31,-17.97,50.53,160.37
9.595,3,-96.34,4.96,1925.46,-18.14,50.93,159.87
9.716,4,-96.57,5.90,1927.65,-17.98,50.50,160.36
9.778,4,-96.06,5.90,1926.13,-17.83,50.14,160.04
9.837,4,-96.03,6.86,1928.85,-18.02,50.48,160.30
9.897,4,-93.93,6.28,1894.95,-18.17,51.61,160.75
9.958,4,-94.09,7.05,1907.66,-20.86,-56.24,-156.88
10.018,4,-93.43,7.24,1897.24,-20.17,-57.06,-158.29
10.078,4,-93.43,8.15,1897.39,-18.24,51.57,160.66
10.139,4,-92.24,11.57,1860.51,-20.09,52.36,158.30
10.260,4,-103.50,25.52,1927.80,-25.00,48.08,152.90
10.320,4,-103.04,30.67,1854.56,-24.86,52.42,154.35
10.380,4,-102.59,35.28,1841.65,-24.00,-59.55,-156.48
10.441,4,-102.57,40.59,1863.16,-20.22,53.25,161.69
10.501,4,-99.29,43.67,1842.56,-18.59,53.72,163.20
10.562,4,-97.52,45.87,1833.74,-17.37,53.04,163.34
10.622,4,-95.99,46.06,1815.59,-17.83,52.56,161.94
10.683,4,-94.92,44.68,1818.61,-18.55,-57.48,-160.42
10.743,4,-92.85,43.84,1817.43,-18.41,-57.02,-160.82
10.805,4,-90.07,43.58,1821.50,-16.02,-55.63,-162.59
10.864,4,-87.14,43.20,1813.15,-15.06,49.74,163.27
10.924,4,-82.07,44.02,1790.26,-11.18,-55.26,-167.56
10.985,4,-78.08,45.72,1779.80,-10.06,-54.74,-168.06
11.045,4,-73.89,46.86,1758.03,-11.36,50.44,167.60
11.105,4,-69.77,49.86,1780.06,-5.60,-53.28,-173.35
11.166,4,-62.84,51.87,1713.97,-10.50,52.33,168.31
11.226,4,-59.27,55.69,1718.44,-6.24,-56.10,-172.69
11.287,4,-56.91,59.29,1712.23,-9.88,51.62,168.45
11.347,4,-53.31,61.37,1676.46,-10.73,52.16,167.80
11.408,4,-52.30,65.44,1686.05,-14.14,50.74,163.36
11.469,4,-52.02,67.25,1677.86,-13.59,51.08,163.41
11.529,4,-51.98,67.85,1669.05,-12.91,51.44,164.32
11.589,4,-52.71,67.33,1679.95,-13.68,51.36,164.43
11.650,4,-53.16,63.44,1664.33,-7.90,-56.90,-171.74
11.710,4,-55.57,59.37,1665.03,-15.28,52.67,163.53
11.770,4,-57.54,54.88,1658.87,-15.17,53.09,164.81
11.831,4,-60.23,48.84,1665.69,-17.89,52.55,161.22
11.891,4,-64.52,46.15,1712.06,-17.64,51.34,161.38
11.953,4,-66.61,43.98,1715.42,-18.04,50.71,159.03
12.013,4,-66.15,43.79,1700.36,-18.93,51.24,158.46
12.072,4,-65.70,45.40,1722.60,-16.54,50.55,160.38
12.134,4,-62.29,44.32,1703.08,-16.89,49.87,159.34
12.193,4,-59.24,43.95,1710.31,-17.33,48.87,158.43
12.253,4,-55.93,42.39,1702.49,-15.38,49.59,160.16
12.314,4,-52.40,42.85,1687.29,-14.36,51.07,163.11
12.374,4,-49.76,43.06,1671.32,-15.28,51.74,161.72
12.435,4,-48.66,43.63,1685.15,-14.37,50.87,161.87
12.495,4,-47.02,42.94,1658.37,-14.51,51.94,161.58
12.556,4,-46.84,43.05,1669.81,-15.24,51.51,161.28
12.617,4,-46.20,43.40,1660.31,-14.72,52.24,161.71
12.677,4,-45.52,43.30,1649.12,-13.91,52.32,162.35
12.737,4,-44.95,44.14,1651.26,-14.07,52.63,162.55
12.797,4,-45.29,44.28,1663.67,-13.08,51.77,162.86
12.859,4,-45.06,44.36,1673.75,-13.79,51.40,161.89
12.919,4,-45.19,43.57,1673.68,-13.89,51.73,162.20
12.979,4,-45.04,43.54,1672.62,-13.77,51.42,161.92
13.039,4,-45.74,44.64,1699.07,-13.75,50.74,161.77
13.099,4,-44.82,44.37,1674.12,-14.05,52.09,161.73
13.221,5,-44.57,44.72,1665.04,-13.38,52.44,162.61
13.282,5,-45.07,45.10,1665.12,-13.35,52.43,162.66
13.341,5,-45.22,45.13,1665.96,-13.22,52.07,163.10
13.402,5,-45.65,45.24,1677.20,-14.05,51.99,162.43
13.462,5,-45.65,45.24,1677.20,-14.05,51.99,162.43
13.523,5,-45.49,45.21,1676.23,-13.92,51.68,162.16
13.583,5,-45.07,45.10,1665.12,-13.35,52.43,162.66
13.643,5,-43.81,46.70,1606.52,-14.66,54.72,161.33
13.704,5,-43.63,52.26,1576.61,-17.08,55.05,159.31
13.764,5,-44.01,59.95,1610.42,-13.72,54.96,164.46
13.826,5,-42.20,66.97,1653.92,-7.59,52.79,172.10
13.887,5,-37.98,72.82,1664.87,-4.92,52.24,174.54
13.945,5,-32.54,77.36,1659.69,-2.88,50.97,175.11
14.006,5,-26.60,79.61,1598.54,-4.98,53.42,173.95
14.067,5,-23.86,81.89,1559.75,-8.17,54.30,170.11
14.127,5,-21.40,84.89,1516.54,-9.16,54.83,169.56
14.188,5,-20.30,90.96,1527.23,-9.18,53.73,169.67
14.248,5,-19.39,97.36,1537.12,-10.66,53.09,168.07
14.308,5,-17.60,101.71,1518.45,-8.97,53.33,169.45
14.369,5,-16.77,107.96,1545.65,-8.92,52.05,168.00
14.429,5,-15.36,109.75,1539.87,-8.30,51.72,169.31
14.491,5,-14.04,111.63,1542.54,-8.29,51.07,168.53
14.550,5,-12.24,111.94,1542.17,-9.38,50.35,167.62
14.610,5,-9.78,112.46,1551.33,0.10,-50.52,-179.38
14.672,5,-8.05,110.90,1556.18,-10.14,48.57,165.47
14.731,5,-5.16,107.04,1545.08,-11.21,48.46,162.96
14.795,5,-2.66,102.48,1537.89,-11.34,49.38,162.94
14.855,5,-0.07,101.60,1568.77,-9.28,48.44,165.58
14.913,5,2.32,99.41,1559.06,-6.45,49.52,168.36
14.974,5,4.29,99.58,1570.03,-4.66,49.76,170.29
15.034,5,5.69,98.64,1550.03,-4.86,50.77,170.50
15.095,5,6.26,98.96,1549.81,-6.07,50.37,169.20
15.153,5,6.22,98.54,1540.52,-6.89,51.25,168.97
15.214,5,5.65,97.81,1539.68,-6.92,51.56,169.33
15.274,5,5.20,97.75,1538.73,-8.08,51.45,168.51
15.335,5,5.13,97.87,1548.68,-7.35,50.88,169.03
15.395,5,5.58,97.87,1548.67,-7.36,50.90,169.00
15.457,5,5.77,97.01,1537.89,-6.82,51.29,169.08
15.516,5,5.50,97.49,1556.27,-7.85,50.24,167.94
15.637,6,5.20,95.03,1533.42,-8.05,51.56,167.93
15.697,6,5.61,96.25,1553.01,-7.69,50.01,167.76
15.757,6,5.69,95.44,1542.73,-7.23,50.72,168.14
15.818,6,5.73,95.85,1552.20,-7.81,50.36,167.33
15.878,6,5.24,95.44,1542.75,-7.22,50.70,168.17
15.939,6,4.98,94.62,1532.34,-7.97,51.60,168.04
15.999,6,5.65,95.99,1562.68,-8.39,50.30,167.59
16.060,6,7.59,95.56,1561.54,-8.25,49.38,167.18
16.120,6,9.69,94.32,1550.10,-7.79,50.24,167.53
16.181,6,10.82,91.82,1548.71,-4.04,50.63,171.73
16.664,6,-59.58,69.93,1855.35,-10.00,-51.91,-169.33
16.724,6,-62.80,65.70,1841.48,-19.12,47.22,158.51
16.785,6,-64.93,64.19,1824.20,-22.48,48.26,154.83
16.845,6,-67.20,66.62,1828.06,-24.44,47.45,152.33
16.906,6,-70.91,69.13,1850.89,-21.89,48.18,155.33
16.966,6,-74.09,70.52,1859.80,-21.71,-54.23,-157.17
17.027,6,-78.06,71.30,1871.33,-23.66,49.59,155.45
17.087,6,-80.22,71.39,1863.74,-25.46,49.97,153.56
17.148,6,-83.21,71.53,1884.76,-22.21,-56.45,-158.08
17.208,6,-86.91,69.37,1893.58,-25.69,49.93,155.03
17.268,6,-92.70,68.31,1934.22,-24.13,48.09,152.92
17.329,6,-98.11,67.33,1966.85,-23.13,50.31,154.89
17.389,6,-103.20,64.75,1981.90,-22.40,50.55,154.71
17.450,6,-109.77,63.97,2026.16,-23.90,50.89,152.38
17.510,6,-111.55,60.61,2010.16,-26.26,-59.72,-149.16
17.571,6,-115.76,60.12,2029.31,-28.46,51.89,146.17
17.632,6,-118.92,61.50,2053.18,-28.18,52.45,145.88
17.695,6,-120.64,62.63,2067.39,-29.59,52.60,144.41
17.752,6,-121.40,63.76,2072.92,-30.53,53.56,144.13
17.813,6,-120.61,64.50,2065.13,-32.77,53.78,142.63
17.873,6,-121.20,66.68,2094.55,-32.38,53.94,143.44
17.933,6,-118.32,66.10,2060.75,-32.40,54.53,144.38
17.994,6,-116.77,66.13,2039.31,-33.21,54.59,144.32
18.054,6,-116.90,66.57,2052.23,-31.63,55.00,146.08
18.115,6,-115.89,66.61,2052.02,-31.62,-62.14,-145.57
18.175,6,-114.27,65.54,2027.05,-32.46,55.13,145.22
18.236,6,-113.60,64.92,2015.01,-31.65,55.64,146.21
18.296,6,-114.33,65.49,2025.48,-32.12,54.81,145.10
18.356,6,-115.45,66.54,2049.54,-31.61,-62.17,-144.81
18.417,6,-115.98,66.99,2049.75,-31.95,55.42,144.68
18.538,7,-115.26,66.43,2046.02,-33.33,-63.57,-141.84
18.598,7,-116.00,67.86,2081.22,-30.04,-63.92,-144.63
18.658,7,-114.28,67.40,2080.62,-30.47,-64.19,-144.60
19.081,7,-92.77,58.53,1973.50,-62.92,-74.07,-114.06
19.263,7,-90.18,62.73,1980.61,-41.82,67.54,135.11
19.383,7,-85.84,59.37,1902.90,-33.19,61.64,144.75
19.565,7,-73.87,70.08,1854.15,-20.15,-53.06,-162.67
19.626,7,-72.75,72.79,1836.54,-20.19,44.71,162.10
19.685,7,-71.82,74.68,1800.99,-15.79,45.33,166.18
19.746,7,-70.99,79.02,1782.31,-9.83,46.28,173.29
19.806,7,-68.66,82.59,1775.11,-7.89,46.44,176.19
19.867,7,-67.90,90.50,1857.13,-7.82,40.65,175.15
19.927,7,-61.54,89.66,1785.08,-10.45,44.45,172.40
19.988,7,-57.38,88.76,1758.73,-10.33,44.12,170.30
20.048,7,-53.50,87.75,1761.43,-2.13,-47.61,179.30
20.108,7,-49.81,88.75,1764.65,0.48,-46.12,176.09
20.170,7,-44.30,92.17,1779.41,0.95,-44.16,173.21
20.232,7,-39.17,95.25,1764.60,-11.64,42.16,171.32
20.291,7,-34.02,95.42,1720.96,-9.32,-48.20,-174.69
20.351,7,-32.28,94.20,1709.11,-8.55,-47.81,-174.83
20.412,7,-29.89,94.59,1715.94,-5.95,-46.99,-177.51
20.472,7,-26.40,95.14,1718.82,-4.63,-45.24,179.94
20.533,7,-21.54,95.74,1695.14,-4.54,-45.94,178.43
20.593,7,-17.41,95.09,1670.42,-5.69,-45.37,-179.32
20.653,7,-13.83,93.46,1667.75,-5.85,-46.48,-177.83
20.714,7,-11.52,90.86,1668.39,-2.27,-46.97,177.68
20.774,7,-10.13,87.53,1662.12,-2.39,-47.45,177.52
20.835,7,-8.64,79.41,1594.07,-1.74,-50.57,177.38
20.896,7,-7.41,73.12,1583.48,-2.01,-50.05,177.76
20.955,7,-7.11,68.89,1619.94,0.18,-48.84,174.68
21.018,7,-7.06,67.72,1664.09,-0.11,-46.61,174.74
21.075,7,-6.75,66.16,1649.18,0.56,-47.84,174.00
21.136,7,-7.75,67.46,1653.07,0.60,-46.99,174.59
21.196,7,-8.80,68.59,1666.49,-0.06,-46.60,175.40
21.257,7,-9.83,68.22,1653.03,1.93,-47.44,173.15
21.318,7,-10.56,68.21,1652.76,1.97,-47.46,173.07
21.378,7,-10.89,68.01,1630.11,2.11,-48.20,173.01
21.438,7,-11.48,69.58,1644.87,1.49,-47.77,173.76
21.498,7,-12.56,69.10,1642.60,1.51,-48.25,173.37
21.560,7,-14.36,68.99,1653.39,3.34,-47.11,171.44
21.620,7,-16.08,68.65,1654.37,2.14,-47.94,173.12
21.740,8,-16.72,70.37,1645.75,2.90,-48.25,172.89
21.800,8,-16.25,71.18,1647.10,2.91,-48.20,172.88
21.862,8,-14.80,71.25,1635.63,3.60,-48.88,172.47
21.923,8,-14.30,71.19,1647.29,2.87,-48.14,172.98
21.984,8,-13.34,70.06,1634.26,3.51,-48.11,172.54
22.043,8,-11.31,69.30,1620.92,4.12,-48.44,171.84
22.103,8,-8.32,70.08,1621.77,4.05,-47.96,171.59
22.164,8,-4.33,70.21,1612.16,4.54,-47.78,172.15
22.224,8,0.18,71.07,1619.47,7.31,-45.64,168.19
22.284,8,5.64,70.95,1576.66,6.10,-46.75,168.45
22.344,8,9.47,70.21,1572.19,3.19,-48.78,175.21
22.828,8,16.67,-53.60,1725.23,23.27,-44.23,149.53
22.888,8,16.94,-64.63,1840.48,21.08,-42.17,153.14
22.950,8,17.97,-66.01,1859.57,20.15,-40.84,153.83
23.009,8,19.35,-62.36,1815.24,20.87,-42.57,154.06
23.070,8,21.37,-57.29,1765.13,22.88,-43.90,153.29
23.130,8,23.84,-54.78,1749.01,23.24,-43.28,153.45
23.192,8,26.74,-51.27,1704.83,21.35,-44.13,154.96
23.251,8,29.93,-48.00,1687.89,19.20,-44.99,158.47
23.311,8,33.21,-45.73,1666.32,19.23,-46.05,159.21
23.373,8,36.00,-45.38,1660.62,18.59,-46.79,160.66
23.432,8,37.47,-47.59,1635.57,18.72,-48.23,162.31
23.494,8,39.48,-52.39,1630.18,18.66,-48.70,162.12
23.553,8,41.18,-57.93,1622.59,18.58,-49.22,161.25
23.613,8,42.30,-63.69,1621.82,21.34,-48.70,156.67
23.674,8,45.21,-72.96,1702.86,22.80,-45.65,153.27
23.735,8,45.52,-78.26,1723.80,23.09,-45.72,152.16
23.795,8,46.37,-82.24,1771.37,23.10,-43.75,151.01
23.855,8,45.67,-83.16,1786.45,25.18,-42.31,147.82
23.916,8,44.56,-82.46,1791.29,25.38,-42.58,148.11
23.977,8,43.08,-80.36,1775.25,26.67,-42.49,146.47
24.036,8,41.87,-78.79,1776.05,26.23,-43.23,147.72
24.097,8,40.68,-77.45,1771.44,25.57,-43.73,148.71
24.157,8,39.46,-77.08,1789.56,24.72,-42.60,149.24
24.219,8,36.79,-74.82,1779.65,23.39,-43.62,151.25
24.278,8,34.83,-73.43,1762.77,24.07,-43.89,151.28
24.339,8,33.14,-72.07,1751.65,22.56,-44.47,153.72
24.400,8,32.03,-70.56,1742.18,21.75,-44.67,154.37
24.520,9,31.88,-68.55,1719.46,19.37,-45.38,157.58
24.581,9,32.87,-69.63,1730.07,20.05,-44.79,157.36
24.641,9,32.57,-70.01,1728.35,19.81,-44.02,157.39
24.701,9,31.76,-69.37,1712.64,18.41,-45.02,159.46
24.763,9,31.08,-68.80,1704.18,17.71,-45.53,160.49
24.822,9,31.55,-67.22,1680.82,19.83,-46.00,159.06
24.882,9,33.32,-65.44,1673.37,19.00,-46.07,159.78
24.943,9,34.53,-68.02,1695.12,18.99,-45.35,158.86
25.306,9,-12.69,-102.25,2131.70,14.17,-29.30,155.46
25.366,9,-20.81,-104.30,2227.86,12.53,-27.06,156.84
25.427,9,-27.13,-102.58,2271.75,10.65,-29.38,161.76
25.487,9,-30.38,-96.25,2206.59,10.67,-33.86,164.95
25.548,9,-31.40,-90.65,2128.00,10.58,-37.62,166.77
25.608,9,-31.20,-85.27,2031.93,9.61,-41.21,168.95
25.668,9,-30.47,-81.12,1956.76,9.53,-44.20,169.99
25.729,9,-29.76,-80.10,1920.27,9.36,-44.85,170.75
25.790,9,-28.47,-78.93,1875.03,6.83,-46.59,174.41
25.850,9,-27.41,-78.97,1842.31,5.07,-47.72,176.85
25.910,9,-26.06,-79.45,1826.27,4.18,-48.21,178.06
25.970,9,-24.41,-80.25,1807.57,4.88,-49.50,177.99
26.031,9,-22.86,-84.23,1803.34,4.69,-49.13,178.68
26.094,9,-22.07,-91.86,1849.57,5.49,-47.65,177.72
26.153,9,-21.67,-98.44,1898.28,6.28,-45.61,176.25
26.213,9,-21.69,-103.48,1937.52,4.71,-44.04,177.04
26.273,9,-21.10,-104.93,1950.55,7.14,-43.82,175.05
26.334,9,-20.34,-105.89,1949.56,7.12,-44.34,174.64
26.396,9,-20.21,-109.61,1994.33,9.58,-41.41,170.78
26.455,9,-19.91,-110.66,1994.69,9.65,-42.45,170.86
26.515,9,-20.69,-112.32,2024.49,11.26,-40.58,168.72
26.576,9,-21.31,-111.75,2009.33,10.51,-41.82,169.51
26.637,9,-22.27,-110.92,2013.18,10.55,-41.72,170.49
26.697,9,-23.03,-109.83,2012.31,10.65,-42.30,169.90
26.757,9,-24.59,-109.96,2038.74,9.84,-40.53,170.84
26.878,10,-26.75,-105.89,2026.22,9.16,-41.73,172.52
26.940,10,-27.21,-101.20,1970.46,8.24,-43.73,173.93
26.999,10,-29.30,-100.91,1999.88,5.93,-42.66,175.72
27.059,10,-29.95,-98.28,1972.69,8.32,-43.74,173.78
27.121,10,-30.33,-95.63,1939.57,6.64,-45.04,175.20
27.180,10,-29.74,-92.36,1902.94,6.58,-46.16,175.28
27.240,10,-28.23,-89.87,1871.77,4.88,-46.78,178.06
27.301,10,-27.19,-90.48,1839.89,8.72,-47.23,172.74
27.362,10,-30.19,-97.23,1854.61,6.22,-47.60,172.16
27.664,10,-79.08,-127.51,2247.05,-2.29,-34.90,-167.57
27.724,10,-84.73,-126.60,2250.10,-2.34,-36.42,-167.98
27.784,10,-86.20,-120.84,2187.23,-4.58,-41.86,-164.35
27.845,10,-90.12,-118.85,2201.77,-4.47,-41.55,-166.85
27.905,10,-89.94,-115.82,2145.05,-6.66,-44.92,-164.13
27.966,10,-90.61,-112.59,2130.68,-5.96,-46.55,-165.65
28.027,10,-90.96,-110.10,2108.87,-6.70,-46.07,-165.64
28.086,10,-94.61,-111.66,2106.40,-8.42,-45.51,-164.67
28.146,10,-96.16,-113.06,2075.99,-11.80,-48.05,-161.82
28.207,10,-95.55,-113.10,2052.17,-11.20,-49.32,-161.54
28.267,10,-94.29,-113.93,2048.46,-11.08,-48.88,-161.07
28.327,10,-92.13,-114.80,2045.53,-11.26,-49.35,-160.49
28.388,10,-88.80,-115.64,2019.22,-12.35,-49.75,-159.24
28.448,10,-86.73,-118.84,2020.63,-10.90,-50.84,-160.48
28.510,10,-87.67,-124.90,2082.74,-11.22,-47.56,-160.36
28.569,10,-87.37,-129.87,2129.31,-9.31,-46.49,-161.45
28.629,10,-84.29,-129.52,2101.53,-10.34,-47.01,-160.28
28.690,10,-84.13,-133.96,2133.29,-7.68,-46.99,-163.31
28.750,10,-82.22,-135.69,2125.83,-7.76,-47.11,-162.17
28.811,10,-84.33,-141.67,2206.25,-6.56,-44.99,-164.05
28.871,10,-83.21,-139.52,2177.19,-7.59,-45.69,-162.89
28.932,10,-81.86,-135.90,2129.16,-7.85,-47.53,-162.69
28.992,10,-85.81,-140.19,2200.88,-6.55,-45.21,-163.00
29.052,10,-86.49,-140.21,2200.90,-6.55,-45.23,-163.02
